wkt_geom,fid,FIELD_ID,SINGLE_NUM,OID_T,SHAPE_AREA,SHAPE_LEN,xcoord,ycoord
Point (141419.89777467551175505 665405.71947849169373512),2328,LT28,28,1505,0,0,141419.8978,665405.7195
Point (141390.1585616325319279 667059.50945911323651671),2207,LT11,11,1487,0,0,141390.1586,667059.5095
Point (141386.50357807331602089 646359.47653495543636382),123,AB13,13,149,0,0,141386.5036,646359.4765
Point (141376.87679497987846844 668584.60486272990237921),704,BN41,41,717,0,0,141376.8768,668584.6049
Point (141372.78819447851856239 668419.73679525475017726),705,BN31,31,718,0,0,141372.7882,668419.7368
Point (141350.82422786371898837 667615.86239775328431278),1455,KL30,30,1355,0,0,141350.8242,667615.8624
Point (141333.02741221321048215 667982.36198263301048428),1504,KL9,9,1367,0,0,141333.0274,667982.362
Point (141328.18910439268802293 667136.09872066206298769),2206,LT10,10,1486,0,0,141328.1891,667136.0987
Point (141307.83584109018556774 666773.0022797038545832),2289,LT16,16,1492,0,0,141307.8358,666773.0023
Point (141298.75429593375883996 666342.66518845490645617),2222,LT19,19,1495,0,0,141298.7543,666342.6652
Point (141283.29020181682426482 668162.50629691290669143),1502,KL7,7,1365,0,0,141283.2902,668162.5063
Point (141281.77438861600239761 665379.26579829980619252),2327,LT27,27,1504,0,0,141281.7744,665379.2658
Point (141258.54300294831045903 646239.54935153992846608),185,AB4,4,164,0,0,141258.543,646239.5494
Point (141253.25369945156853646 668542.10798451397567987),737,BN26,26,704,0,0,141253.2537,668542.108
Point (141253.12625653122086078 669102.01109310775063932),1481,MR15,15,1568,0,0,141253.1263,669102.0111
Point (141237.90227969895931892 668774.51649771200027317),738,BN28,28,705,0,0,141237.9023,668774.5165
Point (141215.90897975780535489 668397.17045329650864005),703,BN40,40,716,0,0,141215.909,668397.1705
Point (141193.0975806062342599 646082.32789500721264631),210,AB3,3,153,0,0,141193.0976,646082.3279
Point (141188.57475415538647212 666084.2042616322869435),2301,LT22,22,1499,0,0,141188.5748,666084.2043
Point (141180.51802444166969508 646531.39304321131203324),156,AB32,32,156,0,0,141180.518,646531.393
Point (141136.39967131856246851 666301.17462122801225632),2224,LT20,20,1497,0,0,141136.3997,666301.1746
Point (141119.38010885089170188 668083.04671180876903236),1503,KL8,8,1366,0,0,141119.3801,668083.0467
Point (141111.52536373716429807 667353.02167055173777044),1466,KL17,17,1340,0,0,141111.5254,667353.0217
Point (141103.45525474348687567 665628.47049636242445558),2325,LT25,25,1502,0,0,141103.4553,665628.4705
Point (141092.58684835641179234 665495.7526926149148494),2326,LT26,26,1503,0,0,141092.5868,665495.7527
Point (141084.56367073595174588 645878.15192956489045173),124,AB2,2,150,0,0,141084.5637,645878.1519
Point (141064.67794095037970692 669347.87840337690431625),1197,MR14,14,1567,0,0,141064.6779,669347.8784
Point (141061.03083356801653281 669740.07111543253995478),2275,MR22,22,1576,0,0,141061.0308,669740.0711
Point (141059.61414274919661693 665923.94005373818799853),2323,LT23,23,1500,0,0,141059.6141,665923.9401
Point (141058.68478350050281733 668893.5558182584354654),1177,MR10,10,1563,0,0,141058.6848,668893.5558
Point (141056.37962243179208599 646354.25566892325878143),157,AB33,33,157,0,0,141056.3796,646354.2557
Point (141050.79622945922892541 666174.35525310377124697),2225,LT21,21,1498,0,0,141050.7962,666174.3553
Point (141039.91540272888960317 668208.13951502705458552),1839,MR5,5,1590,0,0,141039.9154,668208.1395
Point (141017.28665712624206208 646224.37803686666302383),211,AB30,30,154,0,0,141017.2867,646224.378
Point (140979.98589112711488269 667784.62638136558234692),1427,KL10,10,1333,0,0,140979.9859,667784.6264
Point (140960.43913758499547839 670174.77522627473808825),1891,MR26,26,1580,0,0,140960.4391,670174.7752
Point (140926.83397949318168685 669847.43526444921735674),2277,MR24,24,1578,0,0,140926.834,669847.4353
Point (140917.92136746132746339 665737.30803729861509055),2324,LT24,24,1501,0,0,140917.9214,665737.308
Point (140912.04882276119315065 669092.03566311032045633),2276,MR23,23,1577,0,0,140912.0488,669092.0357
Point (140897.61680300266016275 668486.2635768580948934),2389,MR4,4,3096,0,0,140897.6168,668486.2636
Point (140885.67974771265289746 646459.73846288630738854),155,AB31,31,155,0,0,140885.6797,646459.7385
Point (140870.57400062563829124 668276.0494958742056042),1606,MR3,3,1584,0,0,140870.574,668276.0495
Point (140845.19870057690422982 669770.8733328654197976),1487,MR20,20,1574,0,0,140845.1987,669770.8733
Point (140832.54131265872274525 670045.77732779644429684),1890,MR25,25,1579,0,0,140832.5413,670045.7773
Point (140800.55967663702904247 646106.51706738478969783),126,AB29,29,152,0,0,140800.5597,646106.5171
Point (140778.19323203296517022 668526.83803797222208232),32,MR6,6,12,0,0,140778.1932,668526.838
Point (140759.33921403985004872 668245.97386789391748607),1486,MR2,2,1573,0,0,140759.3392,668245.9739
Point (140748.31782628330984153 663784.9597586173331365),2076,NG18,18,1680,0,0,140748.3178,663784.9598
Point (140718.57973283846513368 669644.07432093995157629),1485,MR19,19,1572,0,0,140718.5797,669644.0743
Point (140713.00975955364992842 669434.34079139120876789),1482,MR16,16,1569,0,0,140713.0098,669434.3408
Point (140712.37788342591375113 667046.33257418486755341),1467,KL18,18,1341,0,0,140712.3779,667046.3326
Point (140711.52129692811286077 645684.76019163709133863),119,AB1,1,145,0,0,140711.5213,645684.7602
Point (140703.58874533604830503 670198.70650619990192354),1892,MR27,27,1581,0,0,140703.5887,670198.7065
Point (140702.31626976837287657 669901.01595133007504046),1488,MR21,21,1575,0,0,140702.3163,669901.016
Point (140691.8549612256756518 667828.09884221525862813),1518,KL11,11,1334,0,0,140691.855,667828.0988
Point (140691.74924758629640564 668769.42710451141465455),1546,MR8,8,1592,0,0,140691.7492,668769.4271
Point (140663.77344262573751621 669262.52271015127189457),1838,MR34,34,1589,0,0,140663.7734,669262.5227
Point (140663.71004036563681439 664469.78742470184806734),1973,NG17,17,1679,0,0,140663.71,664469.7874
Point (140619.28535472796647809 645981.05625967332161963),125,AB28,28,151,0,0,140619.2854,645981.0563
Point (140605.57419809928978793 669048.06919194431975484),1180,MR13,13,1566,0,0,140605.5742,669048.0692
Point (140567.72853648662567139 669636.32356865133624524),1484,MR18,18,1571,0,0,140567.7285,669636.3236
Point (140540.76648319131345488 661675.12009006401058286),1932,NG34,34,1697,0,0,140540.7665,661675.1201
Point (140533.82718992873560637 646193.19569398451130837),407,LG27,27,423,0,0,140533.8272,646193.1957
Point (140531.58651558359269984 668407.9449749105842784),1836,MR32,32,1587,0,0,140531.5865,668407.945
Point (140529.53854173584841192 668157.53812867146916687),1835,MR31,31,1586,0,0,140529.5385,668157.5381
Point (140522.65583538985811174 662107.00375296408310533),1930,NG32,32,1695,0,0,140522.6558,662107.0038
Point (140514.23234676453284919 667642.31099239992909133),1107,KL13,13,1336,0,0,140514.2323,667642.311
Point (140486.75936273249681108 670033.54199826985131949),1893,MR28,28,1582,0,0,140486.7594,670033.542
Point (140461.57960641870158724 667956.70051682437770069),1176,MR1,1,1562,0,0,140461.5796,667956.7005
Point (140458.79711563204182312 661858.9618797916918993),1931,NG33,33,1696,0,0,140458.7971,661858.9619
Point (140441.5735897469567135 669367.08122460183221847),1483,MR17,17,1570,0,0,140441.5736,669367.0812
Point (140439.8661132765118964 662616.31510853220243007),2658,NG36,36,3095,0,0,140439.8661,662616.3151
Point (140439.30828197882510722 663337.3824780237628147),1972,NG16,16,1678,0,0,140439.3083,663337.3825
Point (140433.09443174349144101 666867.24054413021076471),1412,KL36,36,1361,0,0,140433.0944,666867.2405
Point (140425.78657785535324365 646363.01380505785346031),404,LG25,25,421,0,0,140425.7866,646363.0138
Point (140421.74652735798736103 661309.82286970410495996),2043,NG40,40,1702,0,0,140421.7465,661309.8229
Point (140406.42346202209591866 667750.89324508898425847),1106,KL12,12,1335,0,0,140406.4235,667750.8932
Point (140393.65241778656491078 669184.59537429001647979),1179,MR12,12,1565,0,0,140393.6524,669184.5954
Point (140378.25250395835610107 670264.44993836549110711),1605,MR29,29,1583,0,0,140378.2525,670264.4499
Point (140373.64962640422163531 667492.25193858647253364),1341,KL14,14,1337,0,0,140373.6496,667492.2519
Point (140371.1287004004989285 668796.21214078168850392),1547,MR9,9,1593,0,0,140371.1287,668796.2121
Point (140349.18865053576882929 669022.32746170985046774),1178,MR11,11,1564,0,0,140349.1887,669022.3275
Point (140332.07836780714569613 668492.57914374175015837),1545,MR7,7,1591,0,0,140332.0784,668492.5791
Point (140324.75358050657087006 663501.55833232973236591),1971,NG15,15,1677,0,0,140324.7536,663501.5583
Point (140311.6618283728021197 669498.6201731018954888),1257,FL24,24,1135,0,0,140311.6618,669498.6202
Point (140309.17888983304146677 663745.74433128070086241),1970,NG14,14,1676,0,0,140309.1789,663745.7443
Point (140293.33376158445025794 645944.44026869221124798),402,LG23,23,419,0,0,140293.3338,645944.4403
Point (140288.93027531777624972 669744.97584940528031439),1347,FL27,27,1138,0,0,140288.9303,669744.9758
Point (140282.26864702205057256 669940.48993092880118638),1141,FL35,35,1146,0,0,140282.2686,669940.4899
Point (140260.1885627712472342 662484.65048824599944055),33,NG31,31,13,0,0,140260.1886,662484.6505
Point (140257.13920917006907985 646584.90388072654604912),406,LG26,26,422,0,0,140257.1392,646584.9039
Point (140240.30058847978943959 665382.87321832973975688),1928,NG3,3,1693,0,0,140240.3006,665382.8732
Point (140239.05582040004082955 663796.50012540002353489),1969,NG13,13,1675,0,0,140239.0558,663796.5001
Point (140235.0390025983506348 646156.80318947602063417),403,LG24,24,420,0,0,140235.039,646156.8032
Point (140224.8127438576775603 663221.49717964394949377),1968,NG12,12,1674,0,0,140224.8127,663221.4972
Point (140210.43492431050981395 662838.40299220324959606),2311,NG24,24,1687,0,0,140210.4349,662838.403
Point (140188.99892427324084565 663915.58986019715666771),1998,NG8,8,1706,0,0,140188.9989,663915.5899
Point (140186.85233720796531998 663374.30330341123044491),1967,NG11,11,1673,0,0,140186.8523,663374.3033
Point (140181.95720126529340632 667914.84489624842535704),1607,MR30,30,1585,0,0,140181.9572,667914.8449
Point (140181.08682075788965449 669111.05148481298238039),1385,FL9,9,1155,0,0,140181.0868,669111.0515
Point (140162.56862708169501275 645773.41031117469538003),368,LG22,22,418,0,0,140162.5686,645773.4103
Point (140159.47172655779286288 663542.59563954570330679),1966,NG10,10,1672,0,0,140159.4717,663542.5956
Point (140154.32471059469389729 669585.66081877681426704),1259,FL26,26,1137,0,0,140154.3247,669585.6608
Point (140144.45185525531996973 662983.23733548843301833),2291,NG23,23,1686,0,0,140144.4519,662983.2373
Point (140139.23282404791098088 668081.54909443424548954),1837,MR33,33,1588,0,0,140139.2328,668081.5491
Point (140120.88713850974454544 667223.23900759452953935),1408,KL15,15,1338,0,0,140120.8871,667223.239
Point (140119.3930765159020666 669934.55658147891517729),1142,FL36,36,1147,0,0,140119.3931,669934.5566
Point (140103.58672276767902076 663737.86181229690555483),1999,NG9,9,1707,0,0,140103.5867,663737.8618
Point (140101.37925231698318385 664065.29994516796432436),1997,NG7,7,1705,0,0,140101.3793,664065.2999
Point (140081.70139432756695896 662430.89373413566499949),1929,NG30,30,1694,0,0,140081.7014,662430.8937
Point (140079.09406040035537444 668760.63790575624443591),1239,FL2,2,1130,0,0,140079.0941,668760.6379
Point (140065.49992703532916494 646792.14511289680376649),361,LG16,16,411,0,0,140065.4999,646792.1451
Point (140060.89668993462692015 668408.8903222611406818),1116,FL1,1,1119,0,0,140060.8967,668408.8903
Point (140049.37525484964135103 664719.31070299621205777),2044,NG5,5,1703,0,0,140049.3753,664719.3107
Point (140047.54505329884705134 665804.65223888820037246),1621,NG1,1,1671,0,0,140047.5451,665804.6522
Point (140034.08163123967824504 669404.90572162705939263),1258,FL25,25,1136,0,0,140034.0816,669404.9057
Point (140033.28730921717942692 662580.42823798290919513),2313,NG26,26,1689,0,0,140033.2873,662580.4282
Point (140012.22314676039968617 662797.50208610319532454),2312,NG25,25,1688,0,0,140012.2231,662797.5021
Point (140009.54688896564766765 661793.31834166415501386),1954,NG39,39,1700,0,0,140009.5469,661793.3183
Point (139979.21686049434356391 669036.63351338682696223),1255,FL22,22,1133,0,0,139979.2169,669036.6335
Point (139969.11820005203480832 665064.01679674896877259),1955,NG4,4,1701,0,0,139969.1182,665064.0168
Point (139960.46995472136768512 663641.10672061331570148),2079,NG20,20,1683,0,0,139960.47,663641.1067
Point (139951.49849287359393202 669696.58316464675590396),1310,FL37,37,1148,0,0,139951.4985,669696.5832
Point (139951.1985451310465578 664511.54649315075948834),2045,NG6,6,1704,0,0,139951.1985,664511.5465
Point (139939.82606614002725109 668020.10871787671931088),1312,FL39,39,1150,0,0,139939.8261,668020.1087
Point (139938.37018792310846038 665654.86321483738720417),2078,NG2,2,1682,0,0,139938.3702,665654.8632
Point (139936.92238559550605714 669509.22774123819544911),1349,FL29,29,1140,0,0,139936.9224,669509.2277
Point (139924.00970307338866405 645380.69734691304620355),408,LG28,28,424,0,0,139924.0097,645380.6973
Point (139918.83772064180811867 668259.4483245798619464),1139,FL33,33,1144,0,0,139918.8377,668259.4483
Point (139895.92016233122558333 669189.12272302259225398),1175,FL19,19,1129,0,0,139895.9202,669189.1227
